date, pm25, pm10, o3, no2, so2, co
2019/3/3, 148, , 30, 25, 6, 15
2019/3/4, 153, , 30, 21, 2, 10
2019/3/5, 146, , 34, 21, 3, 8
2019/3/6, 122, , 40, 32, 9, 15
2019/3/7, 138, , 42, 38, 12, 20
2019/3/8, 149, , 37, 37, 13, 18
2019/3/9, 158, , 39, 19, 4, 8
2019/3/10, 135, , 39, 25, 5, 12
2019/3/11, 147, , 38, 25, 5, 11
2019/3/12, 145, , 38, 21, 4, 10
2019/3/13, 140, , 33, 27, 5, 13
2019/3/14, 149, , 35, 15, 2, 7
2019/3/15, 104, , 33, 12, 4, 5
2019/3/16, 123, , , , , 
2019/3/19, 133, , 37, 34, 8, 20
2019/3/20, 152, , 37, 17, 5, 20
2019/3/21, 162, , 35, 11, 4, 6
2019/3/22, 105, , 41, 14, 5, 5
2019/3/23, 91, , 38, 24, 11, 17
2019/3/24, 119, , 17, 42, 10, 26
2019/3/25, 181, , , , , 
2019/3/28, 128, , 19, 38, 4, 22
2019/3/29, 169, , 18, 46, 4, 26
2019/3/30, 179, , 14, 26, 3, 22
2019/3/31, 138, , 22, 27, 4, 20
2018/10/3, 143, , , , , 
2018/10/7, 151, , 15, 36, 16, 47
2018/10/8, 173, , 13, 37, 12, 46
2018/10/9, 159, , 17, 22, 7, 18
2018/10/10, 162, , 16, 21, 5, 18
2018/10/11, 166, , 28, 25, 11, 30
2018/10/12, 146, , 24, 31, 3, 26
2018/10/13, 144, , 18, 34, 3, 27
2018/10/14, 168, , 16, 50, 12, 43
2018/10/15, 216, , 22, 46, 9, 50
2018/10/16, 184, , 22, 46, 4, 37
2018/10/17, 175, , 20, 38, 15, 59
2018/10/18, 246, , 13, 32, 6, 37
2018/10/19, 206, , 19, 37, 14, 54
2018/10/20, 215, , 18, 27, 4, 18
2018/10/21, 196, , 18, 31, 3, 23
2018/10/22, 193, , 22, 44, 15, 32
2018/10/23, 313, , 19, 46, 23, 50
2018/10/24, 276, , 18, 50, 7, 34
2018/10/25, 309, , 23, 41, 5, 30
2018/10/26, 273, , 33, 43, 5, 36
2018/10/27, 352, , 21, 40, 5, 37
2018/10/28, 337, , 18, 43, 8, 49
2018/10/29, 340, , 26, 47, 5, 41
2018/10/30, 301, , 16, 42, 5, 44
2018/10/31, 309, , 20, 48, 6, 53
2018/11/1, 319, , 18, 57, 6, 51
2018/11/2, 355, , 32, 42, 3, 27
2018/11/3, 271, , 17, 30, 3, 19
2018/11/4, 280, , 17, 35, 3, 25
2018/11/5, 278, , , , , 
2018/11/13, 232, , 18, 39, 11, 44
2018/11/14, 208, , 36, 39, 15, 55
2018/11/15, 200, , 27, 29, 3, 17
2018/11/16, 168, , 46, 38, 14, 22
2018/11/17, 206, , 54, 55, 10, 34
2018/11/18, 282, , 58, 48, 11, 30
2018/11/19, 230, , 56, 53, 12, 48
2018/11/20, 256, , 50, 60, 28, 69
2018/11/21, 296, , 53, 58, 9, 45
2018/11/22, 244, , 38, 45, 16, 36
2018/11/23, 200, , 43, 37, 13, 33
2018/11/24, 188, , 43, 49, 6, 26
2018/11/25, 197, , 47, 54, 7, 50
2018/11/26, 257, , 49, 55, 20, 61
2018/11/27, 271, , 40, 40, 5, 24
2018/11/28, 246, , 38, 50, 5, 17
2018/11/29, 203, , 43, 52, 16, 19
2018/11/30, 280, , 37, 48, 6, 18
2018/12/1, 234, , 25, 62, 10, 25
2018/12/2, 244, , 45, 67, 22, 25
2018/12/3, 265, , 49, 65, 8, 28
2018/12/4, 283, , 16, 56, 3, 16
2018/12/5, 252, , 3, 99, 19, 21
2018/12/6, 331, , 27, 55, 9, 31
2018/12/7, 238, , 37, 59, 16, 16
2018/12/8, 281, , 39, 59, 10, 22
2018/12/9, 283, , 31, 59, 12, 35
2018/12/10, 314, , 27, 37, 4, 20
2018/12/11, 283, , , , , 
2018/12/15, 208, , 38, 49, 7, 22
2018/12/16, 225, , 36, 48, 8, 30
2018/12/17, 268, , 32, 48, 6, 26
2018/12/18, 228, , 38, 47, 19, 19
2018/12/19, 261, , 40, 48, 14, 19
2018/12/20, 269, , 37, 49, 15, 16
2018/12/21, 291, , 38, 56, 18, 29
2018/12/22, 369, , 41, 41, 7, 17
2018/12/23, 291, , 39, 49, 8, 22
2018/12/24, 287, , 41, 43, 7, 21
2018/12/25, 261, , 33, 43, 9, 18
2018/12/26, 290, , 37, 47, 11, 21
2018/12/27, 269, , 36, 37, 7, 17
2018/12/28, 235, , 35, 40, 8, 11
2018/12/29, 278, , 39, 57, 13, 22
2018/12/30, 379, , , , , 
2018/7/1, 138, , 7, 21, 6, 17
2018/7/2, 126, , 7, 15, 3, 13
2018/7/3, 109, , , , , 
2018/7/5, 83, , 28, 22, 4, 18
2018/7/6, 109, , 16, 22, 4, 15
2018/7/7, 151, , 16, 17, 3, 13
2018/7/8, 144, , 8, 12, 3, 9
2018/7/9, 102, , , , , 
2018/7/12, 84, , 2, 15, 2, 17
2018/7/13, 76, , 13, 12, 3, 17
2018/7/14, 77, , 10, 10, 2, 18
2018/7/15, 85, , 11, 20, 2, 16
2018/7/16, 84, , 9, 18, 3, 11
2018/7/17, 69, , 9, 17, 2, 12
2018/7/18, 82, , 8, 15, 2, 18
2018/7/19, 89, , 8, 15, 2, 14
2018/7/20, 95, , 6, 17, 2, 18
2018/7/21, 91, , 153, 14, 2, 12
2018/7/22, 67, , 156, 13, 2, 16
2018/7/23, 71, , 7, 11, 2, 17
2018/7/24, 83, , 6, 12, 3, 23
2018/7/25, 69, , 9, 18, 2, 20
2018/7/26, 59, , 4, 14, 2, 17
2018/7/27, 116, , 8, 15, 3, 22
2018/7/28, 109, , 5, 13, 3, 26
2018/7/29, 125, , 5, 15, 2, 22
2018/7/30, 65, , 12, 18, 2, 24
2018/7/31, 85, , 12, 17, 2, 32
2018/8/1, 98, , 12, 20, 3, 36
2018/8/2, 129, , 5, 17, 3, 26
2018/8/3, 143, , 6, 18, 3, 30
2018/8/4, 147, , 4, 19, 2, 20
2018/8/5, 150, , 6, 18, 2, 21
2018/8/6, 144, , 34, 14, 5, 27
2018/8/7, 103, , 19, 12, 2, 12
2018/8/8, 88, , 10, 14, 8, 24
2018/8/9, 103, , 18, 19, 2, 17
2018/8/10, 114, , 5, 19, 2, 17
2018/8/11, 99, , 7, 17, 2, 13
2018/8/12, 92, , 7, 17, 2, 12
2018/8/13, 97, , 11, 18, 3, 18
2018/8/14, 94, , 8, 14, 2, 14
2018/8/15, 90, , 3, 10, 2, 13
2018/8/16, 72, , 8, 20, 2, 13
2018/8/17, 85, , 12, 18, 2, 15
2018/8/18, 105, , 23, 22, 8, 27
2018/8/19, 137, , 12, 18, 2, 16
2018/8/20, 81, , 9, 16, 2, 12
2018/8/21, 83, , 12, 14, 2, 11
2018/8/22, 108, , 12, 16, 2, 16
2018/8/23, 82, , 6, 18, 2, 19
2018/8/24, 75, , 9, 20, 2, 21
2018/8/25, 78, , 9, 18, 2, 17
2018/8/26, 79, , 23, 18, 2, 19
2018/8/27, 100, , 9, 17, 2, 14
2018/8/28, 94, , 9, 16, 2, 15
2018/8/29, 94, , 9, 20, 2, 19
2018/8/30, 95, , 9, 17, 6, 15
2018/8/31, 76, , 11, 18, 3, 17
2018/9/1, 101, , 9, 16, 2, 15
2018/9/2, 92, , 10, 18, 3, 17
2018/9/3, 86, , 9, 20, 3, 21
2018/9/4, 97, , 19, 14, 3, 18
2018/9/5, 60, , 14, 13, 3, 19
2018/9/6, 115, , 10, 14, 2, 19
2018/9/7, 77, , 10, 10, 11, 22
2018/9/8, 72, , 11, 11, 2, 10
2018/9/9, 79, , 9, 12, 4, 13
2018/9/10, 95, , 9, 16, 3, 20
2018/9/11, 123, , 7, 16, 4, 18
2018/9/12, 99, , 16, 16, 3, 20
2018/9/13, 97, , 27, 22, 4, 25
2018/9/14, 94, , 14, 20, 14, 36
2018/9/15, 102, , 13, 22, 18, 48
2018/9/16, 118, , 8, 25, 5, 35
2018/9/17, 119, , 26, 26, 12, 40
2018/9/18, 145, , 29, 25, 2, 21
2018/9/19, 152, , 28, 26, 2, 20
2018/9/20, 153, , 11, 14, 2, 12
2018/9/21, 63, , 15, 12, 2, 11
2018/9/22, 95, , 4, 13, 2, 15
2018/9/23, 129, , 16, 23, 6, 22
2018/9/24, 127, , 19, 20, 2, 20
2018/9/25, 97, , 22, 21, 8, 35
2018/9/26, 100, , 25, 28, 9, 38
2018/9/27, 151, , 10, 27, 12, 39
2018/9/28, 166, , 13, 30, 11, 41
2018/9/29, 151, , 3, 38, 6, 52
